"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=theropoda"
"Access Time","Fri 2017-02-03 21:08:57 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","theropoda"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.577"
"Records Found","11703"
"Records Returned","11703"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"217716","occ","","","22222","Oceanites zaloscarthmus","species","336378","","Oceanites zaloscarthmus","species","336378","Zanclean","","5.333","3.6","5423"
"217718","occ","","","22222","Struthio sp.","genus","39278","","Struthio","genus","39278","Zanclean","","5.333","3.6","5423"
"217719","occ","","","22222","Apodidae indet.","family","39423","","Apodidae","family","39423","Zanclean","","5.333","3.6","5423"
"217720","occ","","","22222","Pachyptila sp.","genus","39699","","Pachyptila","genus","39699","Zanclean","","5.333","3.6","5423"
"217943","occ","","","22236","Anseriformes indet.","order","39620","","Anseriformes","order","39620","Tortonian","Piacenzian","11.62","2.588","5448"
"217959","occ","","","22237","cf. Struthio sp.","genus","39278","","Struthio","genus","39278","Late Miocene","Piacenzian","11.608","2.588","8636"
"218056","occ","","","22243","cf. Struthio sp.","genus","39278","","Struthio","genus","39278","Tortonian","Piacenzian","11.62","2.588","8636"
"218283","occ","","","22272","Struthio sp.","genus","39278","","Struthio","genus","39278","Pleistocene","","2.588","0.0117","5569"
"218614","occ","","","22316","Aves indet.","class","36616","","Aves","class","36616","Messinian","","7.246","5.333","5560"
"218736","occ","","","22337","Aves indet.","class","36616","","Aves","class","36616","Calabrian","","1.806","0.781","5275"
"218789","occ","","","22342","Aves indet.","class","36616","","Aves","class","36616","Gelasian","Calabrian","2.588","0.781","4454"
"219055","occ","","","22464","Struthio sp.","genus","39278","","Struthio","genus","39278","Calabrian","","1.806","0.781","4784"
"219061","occ","","","22477","Aves indet.","class","36616","","Aves","class","36616","Pliocene","","5.333","2.588","5294"
"219311","occ","","","22506","Anatidae indet.","family","39624","","Anatidae","family","39624","Pliocene","","5.333","2.588","5264"
"219312","occ","","","22506","Aves indet.","class","36616","","Aves","class","36616","Pliocene","","5.333","2.588","5264"
"219352","occ","","","22508","Anas acuta","species","83435","","Anas acuta","species","83435","Pleistocene","","2.588","0.0117","5225"
"219354","occ","","","22508","Ardea cinerea","species","83488","","Ardea cinerea","species","83488","Pleistocene","","2.588","0.0117","5225"
"219355","occ","","","22508","Anser fabalis","species","83424","species not entered","Anser","genus","83424","Pleistocene","","2.588","0.0117","5225"
